ID,x1,group
291,94.20616691,C
292,95.65137835,C
293,94.18010248,C
294,95.30723449,C
295,97.01178996,C
296,94.71809957,C
297,95.50538102,C
298,95.02751562,C
299,93.04149091,C
300,97.17293,C
301,93.10121,C
302,97.83726,C
303,94.01912,C
304,92.12345,C
305,95.053759,C
